"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.08.2019","3,9406","3,8854","3,9922","3,8854","","1,35%"
"28.07.2019","3,8883","3,7747","3,8927","3,7470","","2,99%"
"21.07.2019","3,7753","3,7452","3,8061","3,7285","","0,73%"
"14.07.2019","3,7481","3,7355","3,7709","3,7172","","0,33%"
"07.07.2019","3,7358","3,8150","3,8169","3,7289","","-2,24%"
"30.06.2019","3,8215","3,8373","3,8812","3,7834","","-0,79%"
"23.06.2019","3,8518","3,8220","3,8733","3,8066","","0,86%"
"16.06.2019","3,8190","3,8977","3,9249","3,8127","","-1,97%"
"09.06.2019","3,8956","3,8760","3,9139","3,8296","","0,47%"
"02.06.2019","3,8774","3,9232","3,9344","3,8365","","-1,13%"
"26.05.2019","3,9218","4,0131","4,0541","3,9086","","-2,47%"
"19.05.2019","4,0213","4,1013","4,1221","4,0068","","-1,91%"
"12.05.2019","4,0997","3,9771","4,1133","3,9660","","3,62%"
"05.05.2019","3,9566","3,9383","4,0003","3,9252","","0,48%"
"28.04.2019","3,9378","3,9300","3,9721","3,9128","","0,23%"
"21.04.2019","3,9288","3,9270","4,0065","3,9121","","0,07%"
"14.04.2019","3,9260","3,8819","3,9518","3,8591","","1,15%"
"07.04.2019","3,8812","3,8728","3,9081","3,8147","","0,21%"
"31.03.2019","3,8730","3,8897","3,8930","3,8328","","-1,29%"
"24.03.2019","3,9238","3,9041","4,0160","3,8335","","0,44%"
"17.03.2019","3,9066","3,8173","3,9167","3,7381","","2,45%"
"10.03.2019","3,8131","3,8667","3,8719","3,7996","","-1,38%"
"03.03.2019","3,8666","3,7747","3,9037","3,7745","","2,43%"
"24.02.2019","3,7749","3,7476","3,7964","3,7173","","0,71%"
"17.02.2019","3,7482","3,7020","3,7724","3,6905","","1,28%"
"10.02.2019","3,7007","3,7322","3,7956","3,6990","","-0,76%"
"03.02.2019","3,7290","3,6597","3,7483","3,6595","","1,90%"
"27.01.2019","3,6596","3,7785","3,7878","3,6363","","-2,92%"
"20.01.2019","3,7695","3,7604","3,8170","3,7374","","0,51%"
"13.01.2019","3,7502","3,7113","3,7746","3,6839","","1,06%"
"06.01.2019","3,7108","3,7144","3,7423","3,6749","","-0,12%"
"30.12.2018","3,7154","3,8793","3,8976","3,7093","","-4,25%"
"23.12.2018","3,8804","3,9040","3,9461","3,8298","","-0,60%"
"16.12.2018","3,9039","3,9174","3,9293","3,8331","","-0,33%"
"09.12.2018","3,9170","3,9075","3,9460","3,8364","","0,25%"
"02.12.2018","3,9074","3,8669","3,9436","3,8149","","1,07%"
"25.11.2018","3,8662","3,8187","3,9448","3,8170","","1,00%"
"18.11.2018","3,8280","3,7473","3,8309","3,7420","","2,26%"
"11.11.2018","3,7434","3,7498","3,8317","3,7301","","0,27%"
"04.11.2018","3,7334","3,6967","3,7880","3,6913","","1,00%"
"28.10.2018","3,6965","3,6430","3,7450","3,5817","","1,48%"
"21.10.2018","3,6426","3,6946","3,7469","3,6397","","-1,92%"
"14.10.2018","3,7140","3,7569","3,7648","3,6644","","-1,81%"
"07.10.2018","3,7825","3,7283","3,7915","3,7010","","-1,51%"
"30.09.2018","3,8406","4,0496","4,0637","3,8221","","-5,12%"
"23.09.2018","4,0477","4,0652","4,1421","3,9669","","-0,08%"
"16.09.2018","4,0511","4,1736","4,2041","4,0276","","-2,94%"
"09.09.2018","4,1739","4,0679","4,2109","4,0516","","2,82%"
"02.09.2018","4,0594","4,0921","4,1916","4,0362","","0,12%"
"26.08.2018","4,0545","4,1066","4,2151","4,0472","","-1,14%"
"19.08.2018","4,1012","3,9132","4,1326","3,9132","","4,87%"
"12.08.2018","3,9108","3,8582","3,9532","3,8582","","1,36%"
"05.08.2018","3,8584","3,7053","3,8744","3,6902","","4,08%"
"29.07.2018","3,7070","3,7146","3,7822","3,6960","","-0,08%"
"22.07.2018","3,7099","3,7659","3,8035","3,6879","","-1,52%"
"15.07.2018","3,7671","3,8508","3,8927","3,7580","","-2,19%"
"08.07.2018","3,8514","3,8650","3,9028","3,7935","","-0,28%"
"01.07.2018","3,8624","3,8781","3,9533","3,8593","","-0,36%"
"24.06.2018","3,8765","3,7877","3,8802","3,7610","","2,41%"
"17.06.2018","3,7852","3,7301","3,8042","3,7060","","1,50%"
"10.06.2018","3,7294","3,7092","3,8157","3,6677","","0,55%"
"03.06.2018","3,7091","3,7661","3,9678","3,6930","","-1,43%"
"27.05.2018","3,7630","3,6512","3,7707","3,6510","","3,06%"
"20.05.2018","3,6514","3,7383","3,7389","3,6160","","-2,26%"
"13.05.2018","3,7360","3,5991","3,7768","3,5726","","3,80%"
"06.05.2018","3,5991","3,5307","3,6127","3,5307","","1,98%"
"29.04.2018","3,5291","3,4574","3,5676","3,4574","","2,12%"
"22.04.2018","3,4559","3,4137","3,5159","3,4137","","1,27%"
"15.04.2018","3,4124","3,4255","3,4362","3,3732","","-0,28%"
"08.04.2018","3,4220","3,3690","3,4362","3,3631","","1,58%"
"01.04.2018","3,3689","3,3045","3,3807","3,2954","","1,95%"
"25.03.2018","3,3046","3,3140","3,3466","3,2924","","-0,22%"
"18.03.2018","3,3119","3,2786","3,3194","3,2638","","0,95%"
"11.03.2018","3,2807","3,2553","3,2997","3,2374","","0,80%"
"04.03.2018","3,2548","3,2528","3,2710","3,2057","","0,08%"
"25.02.2018","3,2523","3,2379","3,2717","3,2218","","0,46%"
"18.02.2018","3,2374","3,2315","3,2738","3,2218","","0,20%"
"11.02.2018","3,2310","3,2957","3,2974","3,1983","","-1,91%"
"04.02.2018","3,2939","3,2185","3,3189","3,2136","","2,36%"
"28.01.2018","3,2180","3,1534","3,2237","3,1458","","2,13%"
"21.01.2018","3,1509","3,1967","3,2445","3,1198","","-1,41%"
"14.01.2018","3,1961","3,2060","3,2390","3,1918","","-0,32%"
"07.01.2018","3,2063","3,2292","3,2559","3,1995","","-0,70%"
"31.12.2017","3,2288","3,3135","3,3135","3,2218","","-2,52%"
"24.12.2017","3,3121","3,3376","3,3376","3,2920","","-0,74%"
"17.12.2017","3,3369","3,2949","3,3403","3,2784","","1,28%"
"10.12.2017","3,2946","3,2912","3,3482","3,2729","","0,09%"
"03.12.2017","3,2918","3,2581","3,3187","3,2199","","1,04%"
"26.11.2017","3,2580","3,2330","3,2887","3,2005","","0,78%"
"19.11.2017","3,2329","3,2574","3,2665","3,2188","","-0,75%"
"12.11.2017","3,2573","3,2822","3,3180","3,2548","","-0,63%"
"05.11.2017","3,2778","3,3144","3,3144","3,2362","","-1,10%"
"29.10.2017","3,3142","3,2366","3,3354","3,2346","","2,42%"
"22.10.2017","3,2360","3,1930","3,3031","3,1895","","1,37%"
"15.10.2017","3,1923","3,1450","3,1979","3,1437","","1,51%"
"08.10.2017","3,1447","3,1558","3,1898","3,1439","","-0,35%"
"01.10.2017","3,1558","3,1641","3,1786","3,1221","","-0,18%"
"24.09.2017","3,1614","3,1324","3,2004","3,1260","","1,19%"
